Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;Unnamed: 15;Unnamed: 16
11/12/2004;23.00.00;2.5;1152.0;-200.0;11.6;1036.0;372.0;670.0;120.0;1206.0;1365.0;8.8;52.5;0.5969;;
12/12/2004;00.00.00;3.0;1216.0;-200.0;11.7;1039.0;443.0;685.0;132.0;1183.0;1378.0;8.6;54.3;0.606;;
12/12/2004;01.00.00;2.4;1095.0;-200.0;11.3;1024.0;360.0;708.0;121.0;1219.0;1246.0;8.1;53.2;0.5746;;
12/12/2004;02.00.00;2.6;1099.0;-200.0;10.4;994.0;401.0;715.0;117.0;1164.0;1186.0;6.8;57.8;0.5768;;
12/12/2004;03.00.00;2.0;974.0;-200.0;6.4;832.0;-200.0;832.0;-200.0;1035.0;1024.0;6.6;58.1;0.5687;;
12/12/2004;04.00.00;2.1;1091.0;-200.0;9.8;971.0;273.0;703.0;102.0;1148.0;1187.0;5.4;64.1;0.5772;;
12/12/2004;05.00.00;1.7;955.0;-200.0;5.8;804.0;199.0;843.0;95.0;1017.0;1007.0;5.6;61.6;0.5656;;
12/12/2004;06.00.00;1.5;975.0;-200.0;7.0;859.0;177.0;777.0;81.0;1043.0;1019.0;4.2;69.0;0.5737;;
12/12/2004;07.00.00;1.3;909.0;-200.0;4.0;709.0;206.0;936.0;95.0;953.0;921.0;4.8;64.6;0.563;;
12/12/2004;08.00.00;1.9;992.0;-200.0;6.9;853.0;323.0;821.0;111.0;1052.0;1038.0;4.0;69.0;0.5661;;
12/12/2004;09.00.00;2.0;1018.0;-200.0;7.7;889.0;392.0;780.0;118.0;1085.0;1105.0;4.9;66.3;0.5786;;
12/12/2004;10.00.00;2.7;1100.0;-200.0;9.9;974.0;420.0;728.0;130.0;1131.0;1208.0;9.4;48.7;0.5748;;
12/12/2004;11.00.00;2.4;1101.0;-200.0;8.9;934.0;333.0;751.0;116.0;1085.0;1208.0;12.6;39.9;0.5804;;
12/12/2004;12.00.00;2.7;1148.0;-200.0;11.3;1025.0;395.0;701.0;128.0;1165.0;1282.0;14.4;35.3;0.5763;;
12/12/2004;13.00.00;3.2;1253.0;-200.0;13.7;1108.0;478.0;633.0;156.0;1253.0;1494.0;15.1;37.4;0.6374;;
12/12/2004;14.00.00;3.4;1229.0;-200.0;12.7;1075.0;470.0;638.0;169.0;1226.0;1500.0;16.0;35.8;0.6456;;
12/12/2004;15.00.00;3.2;1250.0;-200.0;14.5;1133.0;508.0;629.0;168.0;1274.0;1463.0;17.5;30.8;0.6095;;
12/12/2004;16.00.00;4.3;1432.0;-200.0;18.4;1251.0;596.0;547.0;178.0;1396.0;1722.0;17.2;34.2;0.6669;;
12/12/2004;17.00.00;5.0;1530.0;-200.0;22.0;1352.0;694.0;491.0;178.0;1550.0;1934.0;14.3;45.8;0.7452;;
12/12/2004;18.00.00;6.3;1604.0;-200.0;25.4;1438.0;968.0;466.0;188.0;1650.0;2018.0;12.2;53.9;0.7617;;
12/12/2004;19.00.00;4.6;1352.0;-200.0;16.4;1191.0;658.0;570.0;169.0;1362.0;1796.0;11.6;51.2;0.6965;;
12/12/2004;20.00.00;3.1;1235.0;-200.0;12.4;1065.0;409.0;640.0;133.0;1213.0;1594.0;11.3;50.1;0.672;;
12/12/2004;21.00.00;2.6;1127.0;-200.0;9.6;962.0;345.0;751.0;125.0;1120.0;1389.0;10.6;51.2;0.6541;;
12/12/2004;22.00.00;2.1;1073.0;-200.0;7.1;860.0;230.0;896.0;110.0;1058.0;1238.0;9.6;51.7;0.6163;;
12/12/2004;23.00.00;2.1;1074.0;-200.0;7.2;867.0;285.0;888.0;112.0;1064.0;1221.0;8.7;55.2;0.6225;;
13/12/2004;00.00.00;2.5;1133.0;-200.0;9.3;951.0;310.0;825.0;112.0;1156.0;1254.0;7.9;60.2;0.6432;;
13/12/2004;01.00.00;2.0;1021.0;-200.0;5.9;808.0;224.0;961.0;102.0;1048.0;1098.0;7.9;59.2;0.6331;;
13/12/2004;02.00.00;1.8;995.0;-200.0;5.9;807.0;213.0;978.0;90.0;1056.0;1044.0;6.7;64.6;0.6381;;
13/12/2004;03.00.00;1.3;882.0;-200.0;2.4;614.0;-200.0;1221.0;-200.0;931.0;888.0;6.9;62.3;0.6227;;
13/12/2004;04.00.00;-200.0;869.0;-200.0;2.1;594.0;103.0;1326.0;66.0;935.0;835.0;6.3;64.6;0.6197;;
13/12/2004;05.00.00;0.7;868.0;-200.0;1.8;567.0;91.0;1238.0;64.0;919.0;823.0;6.4;63.3;0.6123;;
13/12/2004;06.00.00;0.9;921.0;-200.0;3.1;655.0;178.0;1001.0;81.0;972.0;908.0;6.4;64.4;0.6204;;
13/12/2004;07.00.00;1.5;1041.0;-200.0;6.8;846.0;351.0;829.0;106.0;1112.0;1076.0;5.6;68.9;0.6328;;
13/12/2004;08.00.00;3.4;1275.0;-200.0;16.4;1193.0;587.0;596.0;140.0;1389.0;1393.0;6.4;65.6;0.6348;;
13/12/2004;09.00.00;3.4;1238.0;-200.0;16.7;1202.0;475.0;748.0;138.0;1382.0;1429.0;7.3;61.4;0.6306;;
13/12/2004;10.00.00;3.2;1288.0;-200.0;17.3;1220.0;576.0;937.0;165.0;1391.0;1594.0;9.6;53.7;0.6409;;
13/12/2004;11.00.00;4.8;1422.0;-200.0;22.4;1362.0;920.0;775.0;214.0;1509.0;1956.0;12.0;45.9;0.6421;;
13/12/2004;12.00.00;3.5;1293.0;-200.0;17.9;1236.0;710.0;784.0;178.0;1370.0;1872.0;12.7;44.4;0.6512;;
13/12/2004;13.00.00;4.1;1410.0;-200.0;22.4;1363.0;696.0;690.0;187.0;1515.0;2014.0;13.9;42.8;0.6761;;
13/12/2004;14.00.00;4.8;1425.0;-200.0;23.3;1386.0;744.0;691.0;203.0;1536.0;1978.0;15.0;41.4;0.7016;;
13/12/2004;15.00.00;4.4;1590.0;-200.0;28.0;1503.0;743.0;575.0;204.0;1559.0;2257.0;16.0;38.7;0.6987;;
13/12/2004;16.00.00;4.5;1520.0;-200.0;30.1;1552.0;801.0;568.0;198.0;1615.0;2104.0;16.0;38.6;0.6952;;
13/12/2004;17.00.00;5.9;1595.0;-200.0;33.4;1628.0;1014.0;495.0;218.0;1822.0;2140.0;14.1;44.9;0.7194;;
13/12/2004;18.00.00;9.9;1881.0;-200.0;50.8;1983.0;1479.0;334.0;269.0;2271.0;2523.0;12.6;55.9;0.8142;;
13/12/2004;19.00.00;6.9;1633.0;-200.0;35.6;1677.0;1018.0;400.0;217.0;1880.0;2188.0;11.7;60.8;0.8336;;
13/12/2004;20.00.00;4.3;1391.0;-200.0;21.5;1338.0;729.0;509.0;183.0;1514.0;1816.0;11.5;60.9;0.8249;;
13/12/2004;21.00.00;2.9;1263.0;-200.0;15.5;1164.0;508.0;581.0;147.0;1338.0;1587.0;10.6;64.1;0.8182;;
13/12/2004;22.00.00;2.0;1147.0;-200.0;10.9;1012.0;347.0;665.0;120.0;1214.0;1381.0;10.1;66.2;0.8185;;
13/12/2004;23.00.00;1.7;1103.0;-200.0;8.7;928.0;327.0;715.0;112.0;1174.0;1287.0;9.0;70.1;0.8036;;
14/12/2004;00.00.00;1.9;1071.0;-200.0;7.4;873.0;339.0;739.0;107.0;1150.0;1193.0;8.6;70.5;0.7915;;
14/12/2004;01.00.00;2.0;1137.0;-200.0;9.9;975.0;358.0;687.0;103.0;1234.0;1223.0;7.6;74.3;0.7783;;
14/12/2004;02.00.00;1.9;1066.0;-200.0;8.2;907.0;377.0;728.0;97.0;1174.0;1122.0;6.9;76.1;0.759;;
14/12/2004;03.00.00;1.0;918.0;-200.0;3.9;704.0;-200.0;920.0;-200.0;1032.0;932.0;8.0;70.6;0.7607;;
14/12/2004;04.00.00;0.8;895.0;-200.0;3.2;663.0;165.0;977.0;74.0;1007.0;866.0;6.8;75.4;0.7475;;
14/12/2004;05.00.00;0.7;885.0;-200.0;3.0;655.0;145.0;996.0;68.0;1015.0;848.0;6.6;75.3;0.7378;;
14/12/2004;06.00.00;1.1;964.0;-200.0;5.4;784.0;282.0;824.0;92.0;1080.0;959.0;6.0;77.3;0.7262;;
14/12/2004;07.00.00;1.7;1088.0;-200.0;8.7;927.0;494.0;715.0;111.0;1196.0;1154.0;6.0;76.7;0.722;;
14/12/2004;08.00.00;3.1;1274.0;-200.0;15.4;1160.0;606.0;587.0;133.0;1412.0;1373.0;6.9;73.7;0.7348;;
14/12/2004;09.00.00;4.4;1406.0;-200.0;27.2;1483.0;581.0;478.0;139.0;1767.0;1708.0;7.6;70.6;0.7371;;
14/12/2004;10.00.00;5.6;1521.0;-200.0;30.7;1568.0;920.0;440.0;192.0;1843.0;2097.0;9.3;64.2;0.7544;;
14/12/2004;11.00.00;4.4;1408.0;-200.0;24.3;1412.0;811.0;484.0;192.0;1608.0;2056.0;11.7;55.7;0.763;;
14/12/2004;12.00.00;4.4;1377.0;-200.0;21.7;1342.0;786.0;499.0;206.0;1546.0;2006.0;12.9;54.1;0.8003;;
14/12/2004;13.00.00;4.7;1470.0;-200.0;25.8;1450.0;677.0;481.0;182.0;1706.0;2015.0;14.0;53.0;0.8451;;
14/12/2004;14.00.00;4.2;1416.0;-200.0;21.8;1346.0;612.0;609.0;192.0;1570.0;1945.0;15.1;50.2;0.8552;;
14/12/2004;15.00.00;3.3;1383.0;-200.0;20.6;1314.0;524.0;785.0;188.0;1538.0;1793.0;16.7;47.3;0.8883;;
